Year,Month,Models,December 2023,December 2022,%,Year To Date 2023,Year To Date 2022,%
2018,1,S60 II,"1,370","1,333",2.8 %,"1,370","1,333",2.8 %
2018,1,S60L,"2,710","2,104",28.8 %,"2,710","2,104",28.8 %
2018,1,S60 CC,108,85,27.1 %,108,85,27.1 %
2018,1,S80 II,0,3,-,-,3,-
2018,1,S90,"6,057","1,843",228.6 %,"6,057","1,843",228.6 %
2018,1,V40,"4,809","4,367",10.1 %,"4,809","4,367",10.1 %
2018,1,V40 CC,"1,234","1,318",-6.4 %,"1,234","1,318",-6.4 %
2018,1,V60,"2,527","2,805",-9.9 %,"2,527","2,805",-9.9 %
2018,1,V60 CC,"1,145","1,164",-1.6 %,"1,145","1,164",-1.6 %
2018,1,V70 III,0,38,-,-,38,-
2018,1,V90,"2,380","2,275",4.6 %,"2,380","2,275",4.6 %
2018,1,V90 CC,"1,494",229,552.4 %,"1,494",229,552.4 %
2018,1,XC40,395,0,100.0 %,395,0,100.0 %
2018,1,XC60,782,"11,330",-93.1 %,782,"11,330",-93.1 %
2018,1,XC60,"11,656",0,100.0 %,"11,656",0,100.0 %
2018,1,XC70 III,0,72,-,-,72,-
2018,1,XC90,"6,772","6,509",4.0 %,"6,772","6,509",4.0 %
2018,2,S60 II,"1,179","1,479",-20.3 %,"2,549","2,812",-9.4 %
2018,2,S60L,"1,759","1,968",-10.6 %,"4,469","4,072",9.7 %
2018,2,S60 CC,89,85,4.7 %,197,170,15.9 %
2018,2,S80 II,0,6,-,-,9,-
2018,2,S90,"3,829","2,141",78.8 %,"9,886","3,984",148.1 %
2018,2,V40,"4,722","5,075",-7.0 %,"9,531","9,442",0.9 %
2018,2,V40 CC,"1,387","1,334",4.0 %,"2,621","2,652",-1.2 %
2018,2,V60,"2,824","2,975",-5.1 %,"5,351","5,780",-7.4 %
2018,2,V60 CC,"1,232","1,269",-2.9 %,"2,377","2,433",-2.3 %
2018,2,V70 III,0,40,-,-,78,-
2018,2,V90,"3,305","2,879",14.8 %,"5,685","5,154",10.3 %
2018,2,V90 CC,"1,724",835,106.5 %,"3,218","1,064",202.4 %
2018,2,XC40,"1,580",0,100.0 %,"1,975",0,100.0 %
2018,2,XC60,384,"11,393",-96.6 %,"1,166","22,723",-94.9 %
2018,2,XC60,"10,308",0,100.0 %,"21,964",0,100.0 %
2018,2,XC70 III,0,36,-,-,108,-
2018,2,XC90,"6,607","5,000",32.1 %,"13,379","11,509",16.2 %
2018,3,S60 II,"2,153","2,013",7.0 %,"4,702","4,825",-2.5 %
2018,3,S60L,"2,324","3,089",-24.8 %,"6,793","7,161",-5.1 %
2018,3,S60 CC,107,167,-35.9 %,304,337,-9.8 %
2018,3,S80 II,0,0,-,-,8,-
2018,3,S90,"5,832","3,344",74.4 %,"15,718","7,328",114.5 %
2018,3,V40,"8,081","9,148",-11.7 %,"17,612","18,590",-5.3 %
2018,3,V40 CC,"1,974","2,304",-14.3 %,"4,595","4,956",-7.3 %
2018,3,V60,"3,669","4,286",-14.4 %,"9,020","10,066",-10.4 %
2018,3,V60 CC,"1,596","1,847",-13.6 %,"3,973","4,280",-7.2 %
2018,3,V70 III,0,22,-,-,101,-
2018,3,V90,"4,639","3,164",46.6 %,"10,324","8,318",24.1 %
2018,3,V90 CC,"2,165","1,673",29.4 %,"5,383","2,737",96.7 %
2018,3,XC40,"4,261",0,100.0 %,"6,236",0,100.0 %
2018,3,XC60,377,"18,420",-98.0 %,"1,544","41,143",-96.2 %
2018,3,XC60,"16,279",0,100.0 %,"38,241",0,100.0 %
2018,3,XC70 III,0,20,-,-,128,-
2018,3,XC90,"9,583","7,661",25.1 %,"22,962","19,170",19.8 %
2018,4,S60 II,"1,651","1,580",4.5 %,"6,353","6,405",-0.8 %
2018,4,S60L,"2,284","2,474",-7.7 %,"9,077","9,635",-5.8 %
2018,4,S60 CC,64,167,-61.7 %,368,504,-27.0 %
2018,4,S80 II,0,2,-,-,10,-
2018,4,S90,"4,847","3,391",42.9 %,"20,565","10,719",91.9 %
2018,4,V40,"4,976","5,690",-12.5 %,"22,588","24,280",-7.0 %
2018,4,V40 CC,"1,543","1,887",-18.2 %,"6,138","6,843",-10.3 %
2018,4,V60,"2,886","3,569",-19.1 %,"11,906","13,635",-12.7 %
2018,4,V60 CC,"1,544","1,635",-5.6 %,"5,517","5,915",-6.7 %
2018,4,V70 III,0,14,-,-,115,-
2018,4,V90,"3,081","2,896",6.4 %,"13,405","11,214",19.5 %
2018,4,V90 CC,"1,911","1,734",10.2 %,"7,294","4,471",63.1 %
2018,4,XC40,"5,554",0,100.0 %,"11,790",0,100.0 %
2018,4,XC60,213,"15,434",-98.6 %,"1,757","56,577",-96.9 %
2018,4,XC60,"14,840",0,100.0 %,"53,081",0,100.0 %
2018,4,XC70 III,0,25,-,-,153,-
2018,4,XC90,"7,241","6,397",13.2 %,"30,203","25,567",18.1 %
2018,5,S60 II,"1,494","1,551",-3.7 %,"7,847","7,956",-1.4 %
2018,5,S60L,"2,515","2,841",-11.5 %,"11,592","12,476",-7.1 %
2018,5,S60 CC,69,120,-42.5 %,437,624,-30.0 %
2018,5,S80 II,0,0,-,-,10,-
2018,5,S90,"4,851","3,172",52.9 %,"25,416","13,891",83.0 %
2018,5,V40,"4,477","6,209",-27.9 %,"27,065","30,489",-11.2 %
2018,5,V40 CC,"1,367","1,788",-23.5 %,"7,505","8,631",-13.0 %
2018,5,V60,"2,771","2,861",-3.1 %,"14,677","16,496",-11.0 %
2018,5,V60 CC,"1,529","1,563",-2.2 %,"7,046","7,478",-5.8 %
2018,5,V70 III,0,6,-,-,121,-
2018,5,V90,"2,698","2,954",-8.7 %,"16,103","14,168",13.7 %
2018,5,V90 CC,"1,939","1,843",5.2 %,"9,233","6,314",46.2 %
2018,5,XC40,"5,413",0,100.0 %,"17,203",0,100.0 %
2018,5,XC60,171,"15,639",-98.9 %,"1,928","72,216",-97.3 %
2018,5,XC60,"16,171",48,"33,589.6 %","69,252",48,"144,175.0 %"
2018,5,XC70 III,0,5,-,-,158,-
2018,5,XC90,"7,979","6,647",20.0 %,"38,182","32,214",18.5 %
2018,5,Other,95,0,100.0 %,95,0,100.0 %
2018,6,S60 II,"1,571","1,763",-10.9 %,"9,418","9,719",-3.1 %
2018,6,S60L,"2,246","3,265",-31.2 %,"13,838","15,741",-12.1 %
2018,6,S60 CC,113,87,29.9 %,550,711,-22.6 %
2018,6,S80 II,0,0,-,-,10,-
2018,6,S90,"5,561","3,455",61.0 %,"30,977","17,346",78.6 %
2018,6,V40,"5,397","7,191",-24.9 %,"32,462","37,680",-13.8 %
2018,6,V40 CC,"1,621","2,243",-27.7 %,"9,126","10,874",-16.1 %
